"full_tag","l1","l2","l3","intent","trip_stage","definition","minded_equivalent_tag","easy_tag_category"
"ticket_redemption_details::transfer_pick_up_related","ticket_redemption_details","transfer_pick_up_related","","Customer needs help with transfer or pick-up arrangements for the experience.","Pre/In-trip","Issues related to transfer or pick-up arrangements for the experience.","ticket_redemption_details__transfer_/_pick_up_related","ticket_redemption_details__transfer_pick_up_related"
"service_issues::experience_related::denied_entry","service_issues","experience_related","denied_entry","Customer was denied entry to an experience or attraction.","In/Post-trip","Customer was denied entry to an experience or attraction.","service_issues__experience_related__denied_entry","service_issues__experience_related__denied_entry"
"service_issues::experience_related::inclusions_not_met_closed","service_issues","experience_related","inclusions_not_met_closed","Customer contact concerns promised inclusions were not provided or were incomplete.","In/Post-trip","Promised inclusions were not provided or were incomplete.","service_issues__experience_related__inclusions_not_met/closed","service_issues__experience_related__inclusions_not_met_closed"
"service_issues::experience_related::unsatisfactory_tour_experience","service_issues","experience_related","unsatisfactory_tour_experience","Customer had an unsatisfactory experience during the tour.","In/Post-trip","Customer had an unsatisfactory experience during the tour.","service_issues__experience_related__unsatisfactory_tour_experience","service_issues__experience_related__unsatisfactory_tour_experience"
"service_issues::sp_related::driver_information_not_received","service_issues","sp_related","driver_information_not_received","Customer did not receive driver information for a service.","In/Post-trip","Customer did not receive driver information for a service.","","service_issues__sp_related__driver_information_not_received"
"service_issues::sp_related::guide_issues","service_issues","sp_related","guide_issues","Customer needs help with guide behavior, availability, or professionalism.","In/Post-trip","Issues related to guide behavior, availability, or professionalism.","service_issues__sp_related__guide_issues","service_issues__sp_related__guide_issues"
"service_issues::sp_related::guide_was_late_didn_t_arrive","service_issues","sp_related","guide_was_late_didn_t_arrive","Customer contact concerns guide was late or did not arrive for the scheduled tour.","In/Post-trip","Guide was late or did not arrive for the scheduled tour.","service_issues__sp_related__guide_was_late/didn_t_arrive","service_issues__sp_related__guide_was_late_didn_t_arrive"
"service_issues::sp_related::tour_cancelled_by_sp","service_issues","sp_related","tour_cancelled_by_sp","Customer contact concerns tour was canceled by the service provider.","In/Post-trip","Tour was canceled by the service provider.","service_issues__sp_related__tour_cancelled_by_sp","service_issues__sp_related__tour_cancelled_by_sp"
"service_issues::sp_related::tour_language_was_different","service_issues","sp_related","tour_language_was_different","Customer contact concerns tour was conducted in a different language than expected.","In/Post-trip","Tour was conducted in a different language than expected.","service_issues__sp_related__tour_language_was_different","service_issues__sp_related__tour_language_was_different"
"refund_related::denied_entry","refund_related","denied_entry","","Customer was denied entry, affecting their booking or experience.","In/Post-trip","Customer was denied entry, affecting their booking or experience.","","refund_related__denied_entry"
"refund_related::experience_cancelled_by_sp","refund_related","experience_cancelled_by_sp","","Customer contact concerns experience was canceled by the service provider, leading to a refund request.","In/Post-trip","Experience was canceled by the service provider, leading to a refund request.","","refund_related__experience_cancelled_by_sp"
"refund_related::inclusions_not_met","refund_related","inclusions_not_met","","Customer contact concerns refund request due to not meeting the advertised inclusions.","In/Post-trip","Refund request due to not meeting the advertised inclusions.","refund_related__refund_request__inclusions_not_met_in_the_experience","refund_related__inclusions_not_met"
"refund_related::price_disparity","refund_related","price_disparity","","Customer contact concerns discrepancy between the paid price and the expected or advertised price.","In/Post-trip","Discrepancy between the paid price and the expected or advertised price.","refund_related__refund_request__price_disparity","refund_related__price_disparity"
"refund_related::refund_status","refund_related","refund_status","","Customer is following up on the status or ETA of an already initiated refund.","Post-trip","Customer is following up on the status or ETA of an already initiated refund.","refund_related__refund_status","refund_related__refund_status"
"refund_related::unsatisfactory_experience","refund_related","unsatisfactory_experience","","Customer was dissatisfied with the experience received.","In/Post-trip","Customer was dissatisfied with the experience received.","","refund_related__unsatisfactory_experience"
